City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Santa Rosa,PH,76.98,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
12,Hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
20,Lubao,PH,78.87,moderate rain,14.9167,120.55,Hacienda Gracia
21,Butaritari,KI,81.81,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
26,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
29,Alugan,PH,77.65,overcast clouds,12.2188,125.4808,JM Lodge
31,Sao Filipe,CV,77.95,broken clouds,14.8961,-24.4956,Hotel Xaguate
34,Hami,CN,84.51,broken clouds,42.8,93.45,Laoyutang Resort
35,Atuona,PF,76.57,broken clouds,-9.8,-139.0333,Villa Enata
37,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
39,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
41,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Oda,JP,77.68,broken clouds,35.1833,132.5,Sky Hotel Oda
49,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
52,Lompoc,US,75.69,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
54,Muli,MV,81.84,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
59,Mountain Home,US,78.28,light intensity drizzle,43.133,-115.6912,Mountain Home Inn
76,Kudahuvadhoo,MV,81.75,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
77,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
79,San Marco In Lamis,IT,79.72,clear sky,41.7131,15.6399,Hotel Ristorante Rossemi
89,Erzin,TR,78.93,clear sky,36.9559,36.2,Artemis Otel
90,Ribeira Grande,PT,81.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
98,Samdari,IN,80.96,overcast clouds,25.8167,72.5833,Karnoba Ki Dhani
107,Asau,RO,79.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
108,Padang,ID,76.32,broken clouds,-0.9492,100.3543,Mercure Padang
111,Ogbomosho,NG,82.58,broken clouds,8.133,4.25,Living Soul Garden Hotel
117,Faanui,PF,77.95,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Tias,ES,78.48,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
121,Kavaratti,IN,80.31,overcast clouds,10.5669,72.642,Green leaf
123,Kodinar,IN,80.67,overcast clouds,20.7903,70.7031,residency of N.B vadhel
126,Sal Rei,CV,84.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
128,Hirara,JP,84.38,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
132,Laguna,US,76.28,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
135,Sept-Iles,CA,76.05,few clouds,50.2001,-66.3821,Comfort Inn
139,Lorengau,PG,79.03,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
147,Savonlinna,FI,77.05,clear sky,61.8699,28.88,Spahotel Casino
165,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
168,Corrente,BR,84.11,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
169,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
175,Carutapera,BR,84.2,scattered clouds,-1.195,-46.02,Lidera
176,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
181,Vanimo,PG,75.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
182,Kota Belud,MY,76.12,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
185,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
188,Vila Franca Do Campo,PT,75.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
190,Mahibadhoo,MV,81.7,overcast clouds,3.7833,72.9667,Omadhoo Inn
191,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
192,Benghazi,LY,81.77,clear sky,32.1167,20.0667,Tibesti Hotel
200,Kumluca,TR,83.48,clear sky,36.3703,30.2869,Akkol Apart
203,Hamilton,US,82.31,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
207,Sirjan,IR,81.3,clear sky,29.452,55.6814,MAPNA Building
210,Ugoofaaru,MV,80.8,overcast clouds,5.6667,73.0,Ungoofaaru Inn
211,Harper,LR,76.15,overcast clouds,4.375,-7.7169,Screensaver
212,Bandarbeyla,SO,76.37,clear sky,9.4942,50.8122,JABIR HOTEL
213,Caravelas,BR,78.4,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
216,Guerrero Negro,MX,78.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
224,Tukrah,LY,80.64,clear sky,32.5341,20.5791,Lagrota restaurant
238,Honiara,SB,76.5,scattered clouds,-9.4333,159.95,Heritage Park Hotel
245,Miranda,CO,82.65,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
259,Samarai,PG,79.0,broken clouds,-10.6167,150.6667,Nuli Sapi
266,Toro,CO,79.88,broken clouds,4.6117,-76.0814,ChiloRanch Adventure
275,Bonthe,SL,79.09,broken clouds,7.5264,-12.505,Bonthe Holiday Village
277,Nikolskoye,RU,78.69,clear sky,59.7035,30.7861,Tourist House - Sablino
283,Kolondieba,ML,77.27,light rain,11.0882,-6.8926,Hotel Dakan
285,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
287,Lakatoro,VU,77.72,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
302,Meulaboh,ID,75.72,overcast clouds,4.1363,96.1285,Kost Pria
307,Alizai,PK,83.52,few clouds,33.5383,70.3462,Alizai Rest House
310,Adzope,CI,76.08,overcast clouds,6.1069,-3.8619,Hôtel AKL
312,Muisne,EC,75.49,overcast clouds,0.6,-80.0333,Quinta Samay
313,Ewo,CG,83.77,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
314,Shelburne,CA,84.24,clear sky,44.0787,-80.2041,The Retreat at the Farm
324,Ladushkin,RU,82.26,overcast clouds,54.5703,20.171,Жилой дом
330,Dryden,CA,75.49,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
339,Requena,ES,81.79,clear sky,39.4883,-1.1004,Hotel Avenida
340,Ganzhou,CN,81.45,scattered clouds,28.8184,115.4327,Zhanqian Grand Hotel
342,Bariadi,TZ,76.17,broken clouds,-2.8,33.9833,Similas Guest House and Bar
343,Maragogi,BR,78.04,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
345,Jiangyou,CN,77.09,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
355,Balabac,PH,79.03,light rain,7.9868,117.0645,Batalla’s Lodging House
361,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
369,Mpulungu,ZM,76.55,clear sky,-8.7623,31.1141,Chela moche guest house
373,Aleksandrov Gay,RU,80.31,broken clouds,50.147,48.5704,Gostinitsa
374,Plover,US,84.09,clear sky,44.4564,-89.544,Hampton Inn Plover-Stevens Point
379,Palasa,IN,80.15,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
380,Seredka,RU,78.55,broken clouds,58.1584,28.1858,Lesnoy Oazis
383,Morehead,US,76.95,overcast clouds,37.2711,-87.1764,CCI Express Inn
386,Bataipora,BR,76.44,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
388,Mahuva,IN,80.42,moderate rain,21.0914,71.7622,Hotel Blue Diamond.
393,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
395,Moratuwa,LK,78.82,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
399,Acajutla,SV,84.56,overcast clouds,13.5928,-89.8275,Laureles
403,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
404,Havre-Saint-Pierre,CA,77.36,broken clouds,50.2334,-63.5986,Auberge Niapiskau
406,Tagusao,PH,79.43,overcast clouds,9.1924,117.8141,Caycay future beach resort
410,Besikduzu,TR,78.69,scattered clouds,41.052,39.2284,Belek Palas Hotel
411,Ternate,ID,79.23,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
415,Hobyo,SO,76.6,broken clouds,5.3505,48.5268,Iftin hotel hobyo
417,Jintur,IN,78.98,overcast clouds,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
418,Pauini,BR,82.65,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
420,Tuy Hoa,VN,78.51,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
421,San Quintin,MX,75.72,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
424,Khartoum,SD,82.02,overcast clouds,15.5518,32.5324,Hotel China
426,Dhidhdhoo,MV,80.17,overcast clouds,6.8833,73.1,Dhidhoo beach
436,Malanje,AO,77.92,few clouds,-9.5402,16.341,Hotel Ginga
438,Touros,BR,80.24,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
443,Cacahoatan,MX,82.6,overcast clouds,14.9833,-92.1667,Luna Maya Hostel & Wellness
446,Kavieng,PG,80.83,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
449,Xacmaz,AZ,76.59,broken clouds,41.4635,48.806,Ulduz Hotel
452,Sabang,ID,82.27,overcast clouds,5.8933,95.3214,Hotel Citra
453,Santa Isabel,BR,76.71,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
454,Jiayuguan,CN,77.07,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
455,Nabire,ID,76.78,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
461,Keti Bandar,PK,83.03,heavy intensity rain,24.1447,67.4497,Haji laloo memon house
463,Walajapet,IN,79.25,overcast clouds,12.9333,79.3833,ARS.Residency
464,Riberalta,BO,84.47,overcast clouds,-10.9833,-66.1,Hotel Colonial
