City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,70.88,63,74,21.34,broken clouds
1,Zyryanka,RU,65.75,150.85,47.71,94,100,6.08,overcast clouds
2,Santa Rosa,PH,14.3122,121.1114,76.98,96,100,4.56,moderate rain
3,Codrington,AU,-38.2667,141.9667,41.68,97,11,7.07,few clouds
4,Nyrob,RU,60.733,56.7202,65.07,68,84,2.19,broken clouds
5,Dikson,RU,73.5069,80.5464,45.3,93,93,17.13,overcast clouds
6,Sergeyevka,KZ,53.88,67.4158,66.15,63,25,1.99,scattered clouds
7,Busselton,AU,-33.65,115.3333,52.59,78,96,0.51,overcast clouds
8,Hasaki,JP,35.7333,140.8333,72.28,75,100,9.64,overcast clouds
9,Sasovo,RU,54.3537,41.9199,73.78,59,92,5.7,overcast clouds
10,The Valley,AI,18.217,-63.0578,86.09,74,75,20.71,broken clouds
11,Port Alfred,ZA,-33.5906,26.891,57.18,90,22,1.01,few clouds
12,Hithadhoo,MV,-0.6,73.0833,82.54,70,100,9.86,overcast clouds
13,Norman Wells,CA,65.282,-126.8329,69.84,60,20,11.5,few clouds
14,Provideniya,RU,64.3833,-173.3,42.76,89,100,18.14,light rain
15,Katsuura,JP,35.1333,140.3,72.45,82,95,8.99,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,40.66,81,75,12.66,light rain
17,Dalbandin,PK,28.8947,64.4101,95.4,14,1,10.18,clear sky
18,Esperance,AU,-33.8667,121.9,53.35,73,100,5.5,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,43.0,59,14,0.81,few clouds
20,Lubao,PH,14.9167,120.55,78.87,92,99,1.86,moderate rain
21,Butaritari,KI,3.0707,172.7902,81.81,75,27,13.76,scattered clouds
22,Iqaluit,CA,63.7506,-68.5145,40.73,93,75,8.05,broken clouds
23,Itarema,BR,-2.9248,-39.9167,85.73,55,4,17.45,clear sky
24,Taoudenni,ML,22.6783,-3.9836,115.25,7,11,16.13,few clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,93.16,45,0,11.5,clear sky
26,Vaini,TO,-21.2,-175.2,75.36,94,100,4.61,overcast clouds
27,Limbach-Oberfrohna,DE,50.8667,12.75,88.12,33,41,14.7,scattered clouds
28,Bilma,NE,18.6853,12.9164,106.11,10,10,11.65,clear sky
