City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2022-08-02 23:00:01,22.8909,-109.9124,92.61,69,32,5.82
1,Belyy Yar,RU,2022-08-02 23:04:49,53.6039,91.3903,56.86,82,75,2.24
2,Ushuaia,AR,2022-08-02 23:04:49,-54.8,-68.3,35.26,100,75,5.75
3,Albany,US,2022-08-02 23:02:01,42.6001,-73.9662,84.16,53,35,8.93
4,Dalbandin,PK,2022-08-02 23:04:49,28.8947,64.4101,87.53,21,0,5.64
5,Jamestown,US,2022-08-02 23:00:36,42.097,-79.2353,76.05,50,3,4.0
6,Kloulklubed,PW,2022-08-02 23:04:50,7.0419,134.2556,77.5,74,100,9.93
7,Severo-Kurilsk,RU,2022-08-02 23:04:50,50.6789,156.125,55.81,78,21,7.54
8,Vereeniging,ZA,2022-08-02 23:02:43,-26.6731,27.9261,53.11,67,59,9.13
9,Kuryk,KZ,2022-08-02 23:04:50,43.2,51.65,84.11,33,1,11.9
10,Soe,ID,2022-08-02 23:04:51,-9.8607,124.284,62.64,80,41,3.24
11,Mataura,NZ,2022-08-02 23:04:51,-46.1927,168.8643,44.47,79,97,9.73
12,Rikitea,PF,2022-08-02 23:04:51,-23.1203,-134.9692,72.37,76,63,20.38
13,Hobyo,SO,2022-08-02 23:04:51,5.3505,48.5268,75.61,83,8,24.74
14,Karratha,AU,2022-08-02 23:04:52,-20.7377,116.8463,62.82,68,0,10.83
15,Zheleznodorozhnyy,RU,2022-08-02 23:04:52,55.7503,38.0042,64.92,61,100,3.13
16,Kodiak,US,2022-08-02 23:02:27,57.79,-152.4072,59.2,66,26,13.27
17,Te Anau,NZ,2022-08-02 23:01:00,-45.4167,167.7167,46.44,84,98,9.01
18,Taupo,NZ,2022-08-02 23:02:10,-38.6833,176.0833,52.7,75,91,10.8
19,Komsomolskiy,UZ,2022-08-02 23:04:52,40.4272,71.7189,74.12,46,65,4.61
20,Richards Bay,ZA,2022-08-02 23:04:53,-28.783,32.0377,63.68,77,0,13.73
21,Takoradi,GH,2022-08-02 23:04:53,4.8845,-1.7554,72.54,81,11,7.47
22,Lyuban,BY,2022-08-02 23:04:53,52.7985,28.0048,60.64,88,100,8.61
23,Tuktoyaktuk,CA,2022-08-02 23:04:53,69.4541,-133.0374,46.33,83,100,12.55
24,Gumdag,TM,2022-08-02 23:04:54,39.2061,54.5906,88.68,24,15,12.06
25,Eureka,US,2022-08-02 23:04:54,40.8021,-124.1637,75.2,76,32,5.01
26,Arroio Grande,BR,2022-08-02 23:04:54,-32.2375,-53.0869,56.1,95,47,6.29
27,Barrow,US,2022-08-02 23:00:06,71.2906,-156.7887,50.25,54,86,11.81
28,Bredasdorp,ZA,2022-08-02 23:04:55,-34.5322,20.0403,49.55,85,40,3.09
29,Cape Town,ZA,2022-08-02 23:04:55,-33.9258,18.4232,58.37,86,8,5.01
30,New Norfolk,AU,2022-08-02 23:04:55,-42.7826,147.0587,52.92,75,100,3.0
31,Oranjemund,NA,2022-08-02 23:04:55,-28.55,16.4333,52.97,90,4,5.59
32,Chuy,UY,2022-08-02 23:04:56,-33.6971,-53.4616,55.15,95,49,5.48
33,Caravelas,BR,2022-08-02 23:04:56,-17.7125,-39.2481,69.6,84,9,5.03
34,Kaitangata,NZ,2022-08-02 23:04:56,-46.2817,169.8464,51.39,69,41,15.21
35,Souillac,MU,2022-08-02 23:04:56,-20.5167,57.5167,67.89,71,0,8.12
36,Hermanus,ZA,2022-08-02 23:04:57,-34.4187,19.2345,47.8,81,11,0.94
37,Jalu,LY,2022-08-02 23:04:57,29.0331,21.5482,80.29,57,0,16.69
38,Puerto Escondido,MX,2022-08-02 23:04:57,15.85,-97.0667,85.03,61,75,3.44
39,Serov,RU,2022-08-02 23:04:57,59.6033,60.5787,51.49,83,5,1.19
40,Praia Da Vitoria,PT,2022-08-02 23:04:58,38.7333,-27.0667,74.75,90,22,5.7
41,Torbay,CA,2022-08-02 23:00:11,47.6666,-52.7314,69.89,69,54,11.14
42,Atherton,GB,2022-08-02 23:04:58,53.5237,-2.4935,69.35,81,97,8.99
43,Saint-Philippe,RE,2022-08-02 23:04:59,-21.3585,55.7679,64.22,80,37,6.53
44,Tiksi,RU,2022-08-02 23:04:59,71.6872,128.8694,40.06,84,100,5.59
45,Santa Maria,BR,2022-08-02 23:00:33,-29.6842,-53.8069,62.46,90,80,6.89
46,Yeppoon,AU,2022-08-02 23:04:59,-23.1333,150.7333,65.98,85,15,7.99
47,Kurchum,KZ,2022-08-02 23:05:59,48.5722,83.6542,64.04,69,6,5.12
48,Sao Felix Do Xingu,BR,2022-08-02 23:06:00,-6.6447,-51.995,79.36,57,91,0.94
49,Yellowknife,CA,2022-08-02 23:06:00,62.456,-114.3525,61.52,45,12,9.93
50,Punta Arenas,CL,2022-08-02 23:06:00,-53.15,-70.9167,39.31,93,75,2.3
51,Qandala,SO,2022-08-02 23:06:01,11.472,49.8728,90.3,47,3,16.73
52,Busselton,AU,2022-08-02 23:06:01,-33.65,115.3333,53.56,69,97,31.59
53,Avera,US,2022-08-02 23:06:01,33.194,-82.5271,92.55,34,73,9.13
54,Marsh Harbour,BS,2022-08-02 23:01:33,26.5412,-77.0636,83.07,64,0,9.55
55,Turiacu,BR,2022-08-02 23:06:01,-1.6633,-45.3717,74.68,89,19,4.99
56,Templemore,IE,2022-08-02 23:06:02,52.7947,-7.8339,62.44,82,64,13.65
57,Qaanaaq,GL,2022-08-02 23:06:02,77.484,-69.3632,46.42,59,97,1.83
58,Carnarvon,AU,2022-08-02 23:06:02,-24.8667,113.6333,66.78,64,97,18.88
59,Avarua,CK,2022-08-02 23:04:45,-21.2078,-159.775,77.05,57,75,10.36
60,Esperance,AU,2022-08-02 23:06:03,-33.8667,121.9,50.38,65,28,30.44
61,Codrington,AU,2022-08-02 23:06:03,-38.2667,141.9667,54.9,72,87,20.94
62,Salalah,OM,2022-08-02 23:06:03,17.0151,54.0924,77.09,94,100,4.61
63,Fare,PF,2022-08-02 23:06:03,-16.7,-151.0167,78.06,69,3,23.0
64,Viransehir,TR,2022-08-02 23:06:04,37.2353,39.7631,86.31,38,0,7.2
65,Bambous Virieux,MU,2022-08-02 23:06:04,-20.3428,57.7575,65.21,68,0,9.31
66,Zharkent,KZ,2022-08-02 23:06:04,44.1628,80.0,70.09,33,82,3.36
67,San Patricio,US,2022-08-02 23:06:05,28.017,-97.5169,95.72,49,7,19.91
68,Road Town,VG,2022-08-02 23:03:45,18.4167,-64.6167,84.29,83,40,10.36
69,Puerto Ayora,EC,2022-08-02 23:06:05,-0.7393,-90.3518,70.56,85,52,8.01
70,Vaini,TO,2022-08-02 23:06:05,-21.2,-175.2,78.96,94,20,11.5
71,Catamarca,AR,2022-08-02 23:06:06,-28.4696,-65.7852,69.58,52,29,3.09
72,Clyde River,CA,2022-08-02 23:06:06,70.4692,-68.5914,36.36,96,100,5.3
73,Ribeira Grande,PT,2022-08-02 23:06:06,38.5167,-28.7,75.56,82,41,13.29
74,Plettenberg Bay,ZA,2022-08-02 23:06:06,-34.0527,23.3716,59.56,56,6,3.85
75,Caratinga,BR,2022-08-02 23:06:07,-19.7897,-42.1392,67.53,67,63,3.58
76,Leningradskiy,RU,2022-08-02 23:06:07,69.3833,178.4167,57.72,52,100,5.48
77,Port Alfred,ZA,2022-08-02 23:06:07,-33.5906,26.891,66.43,55,64,7.74
78,Sovetskiy,RU,2022-08-02 23:06:08,61.3614,63.5842,55.06,68,30,3.56
79,Guerrero Negro,MX,2022-08-02 23:06:08,27.9769,-114.0611,78.84,57,100,18.52
80,Half Moon Bay,US,2022-08-02 23:06:08,37.4636,-122.4286,88.03,69,40,25.32
81,Shimoda,JP,2022-08-02 23:06:08,34.6667,138.95,87.1,77,94,9.98
82,Sitka,US,2022-08-02 23:06:09,57.0531,-135.33,57.09,88,100,3.44
83,Neuquen,AR,2022-08-02 23:06:09,-38.9516,-68.0591,44.49,45,0,4.61
84,Hobart,AU,2022-08-02 23:06:09,-42.8794,147.3294,53.26,75,75,8.05
85,Tommot,RU,2022-08-02 23:06:09,58.9564,126.2925,67.89,84,90,1.48
86,Geraldton,AU,2022-08-02 23:06:10,-28.7667,114.6,57.61,82,75,12.66
